swatch,color.name,hex
#5D8AA8,Air Force blue,#5D8AA8
#F0F8FF,Alice blue,#F0F8FF
#E32636,Alizarin,#E32636
#EFDECD,Almond,#EFDECD
#E52B50,Amaranth,#E52B50
#FFBF00,Amber,#FFBF00
#FF7E00,Amber (SAE/ECE),#FF7E00
#FF033E,American rose,#FF033E
#9966CC,Amethyst,#9966CC
#F2F3F4,Anti-flash white,#F2F3F4
#CD9575,Antique brass,#CD9575
#915C83,Antique fuchsia,#915C83
#FAEBD7,Antique white,#FAEBD7
#0000FF,Ao,#0000FF
#008000,Ao (English),#008000
#8DB600,Apple green,#8DB600
#FBCEB1,Apricot,#FBCEB1
#00FFFF,Aqua,#00FFFF
#7FFFD0,Aquamarine,#7FFFD0
#4B5320,Army green,#4B5320
#3B444B,Arsenic,#3B444B
#E9D66B,Arylide yellow,#E9D66B
#B2BEB5,Ash grey,#B2BEB5
#87A96B,Asparagus,#87A96B
#FF9966,Atomic tangerine,#FF9966
#6D351A,Auburn,#6D351A
#FDEE00,Aureolin,#FDEE00
#6E7F80,AuroMetalSaurus,#6E7F80
#FF2052,Awesome,#FF2052
#007FFF,Azure (color wheel),#007FFF
#F0FFFF,Azure (web) (Azure mist),#F0FFFF
#89CFF0,Baby blue,#89CFF0
#A1CAF1,Baby blue eyes,#A1CAF1
#F4C2C2,Baby pink,#F4C2C2
#21ABCD,Ball Blue,#21ABCD
#FAE7B5,Banana Mania,#FAE7B5
#FFE135,Banana Yellow,#FFE135
#848482,Battleship grey,#848482
#98777B,Bazaar,#98777B
#BCD4E6,Beau blue,#BCD4E6
#9F8170,Beaver,#9F8170
#F5F5DC,Beige,#F5F5DC
#FFE4C4,Bisque,#FFE4C4
#3D2B1F,Bistre,#3D2B1F
#FE6F5E,Bittersweet,#FE6F5E
#000000,Black,#000000
#FFEBCD,Blanched Almond,#FFEBCD
#318CE7,Bleu de France,#318CE7
#ACE5EE,Blizzard Blue,#ACE5EE
#FAF0BE,Blond,#FAF0BE
#0000FF,Blue,#0000FF
#0093AF,Blue (Munsell),#0093AF
#0087BD,Blue (NCS),#0087BD
#333399,Blue (pigment),#333399
#0247FE,Blue (RYB),#0247FE
#A2A2D0,Blue Bell,#A2A2D0
#6699CC,Blue Gray,#6699CC
#00DDDD,Blue-green,#00DDDD
#8A2BE2,Blue-violet,#8A2BE2
#DE5D83,Blush,#DE5D83
#79443B,Bole,#79443B
#0095B6,Bondi blue,#0095B6
#CC0000,Boston University Red,#CC0000
#0070FF,Brandeis blue,#0070FF
#B5A642,Brass,#B5A642
#CB4154,Brick red,#CB4154
#1DACD6,Bright cerulean,#1DACD6
#66FF00,Bright green,#66FF00
#BF94E4,Bright lavender,#BF94E4
#C32148,Bright maroon,#C32148
#FF007F,Bright pink,#FF007F
#08E8DE,Bright turquoise,#08E8DE
#D19FE8,Bright ube,#D19FE8
#F4BBFF,Brilliant lavender,#F4BBFF
#FF55A3,Brilliant rose,#FF55A3
#FB607F,Brink pink,#FB607F
#004225,British racing green,#004225
#CD7F32,Bronze,#CD7F32
#964B00,Brown (traditional),#964B00
#A52A2A,Brown (web),#A52A2A
#FFC1CC,Bubble gum,#FFC1CC
#E7FEFF,Bubbles,#E7FEFF
#F0DC82,Buff,#F0DC82
#480607,Bulgarian rose,#480607
#800020,Burgundy,#800020
#DEB887,Burlywood,#DEB887
#CC5500,Burnt orange,#CC5500
#E97451,Burnt sienna,#E97451
#8A3324,Burnt umber,#8A3324
#BD33A4,Byzantine,#BD33A4
#702963,Byzantium,#702963
#536872,Cadet,#536872
#5F9EA0,Cadet blue,#5F9EA0
#91A3B0,Cadet grey,#91A3B0
#006B3C,Cadmium Green,#006B3C
#ED872D,Cadmium Orange,#ED872D
#E30022,Cadmium Red,#E30022
#FFF600,Cadmium Yellow,#FFF600
#1E4D2B,Cal Poly Pomona green,#1E4D2B
#A3C1AD,Cambridge Blue,#A3C1AD
#C19A6B,Camel,#C19A6B
#78866B,Camouflage green,#78866B
#FFEF00,Canary yellow,#FFEF00
#FF0800,Candy apple red,#FF0800
#E4717A,Candy pink,#E4717A
#00BFFF,Capri,#00BFFF
#592720,Caput mortuum,#592720
#C41E3A,Cardinal,#C41E3A
